alacritty 0.14.0-1
alsa-plugins 1:1.2.12-4
alsa-utils 1.2.13-2
base 3-2
base-devel 1-2
bat 0.24.0-2
cava 0.10.2-2
cmus 2.12.0-1
efibootmgr 18-3
eza 0.20.10-1
fastfetch 2.30.1-1
feh 3.10.3-1
ffmpegthumbnailer 2.2.3-3
font-manager 0.9.0-2
fzf 0.56.3-1
git 2.47.1-1
git-delta 0.18.2-1
grub 2:2.12-3
gvfs 1.56.1-1
gvfs-smb 1.56.1-1
htop 3.3.0-3
intel-ucode 20241112-1
less 1:668-1
libopenraw 0.3.7-2
libreoffice-still 24.2.7-2
librewolf-bin 132.0.2-1
linux 6.12.1.arch1-1
linux-firmware 20241111.b5885ec5-1
lxappearance 0.6.3-5
man-db 2.13.0-1
neovim 0.10.2-2
networkmanager 1.50.0-1
npm 10.9.0-1
nvidia 565.57.01-8
nvidia-settings 565.57.01-1
nvidia-utils 565.57.01-2
os-prober 1.81-2
pacman-contrib 1.10.6-2
pavucontrol 1:6.1-1
pcmanfm 1.3.2-1
picom-ftlabs-git r2236_2024.02.17-1
pipewire 1:1.2.7-1
poppler-glib 24.11.0-2
pulseaudio 17.0-3
pulseaudio-alsa 1:1.2.12-4
python-pip 24.3.1-1
python-pywal16 1:3.6.0-3
ranger 1.9.4-1
reflector 2023-2
ripgrep 14.1.1-1
sudo 1.9.16.p2-1
tmux 3.5_a-1
ttf-jetbrains-mono-nerd 3.3.0-1
ueberzug 18.3.1-3
ufw 0.36.2-4
unzip 6.0-21
vi 1:070224-6
vlc 3.0.21-9
wget 1.25.0-1
xclip 0.13-6
xorg-bdftopcf 1.1.2-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.14-1
xorg-sessreg 1.1.3-2
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.7-2
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.3-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.8-2
xorg-xdpyinfo 1.3.4-2
xorg-xdriinfo 1.0.7-2
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.9-2
xorg-xinit 1.4.2-2
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.5-2
xorg-xkbprint 1.0.7-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xterm 395-1
xwallpaper 0.7.4-2
yay 12.4.2-1
yay-debug 12.4.2-1
zsh 5.9-5
zsh-theme-powerlevel10k-git r4304.ef83e13c-1
